线路ID,起点,终点,长度,偏转,画起点,画终点
JHPS,南京,镇江,63,0,False,True
JHPS,镇江,丹阳,29,0,False,True
JHPS,丹阳,常州,44,0,False,True
JHPS,常州,戚墅堰,11,0,False,False
JHPS,戚墅堰,无锡,28,0,False,True
JHPS,无锡,苏州,42,0,False,True
JHPS,苏州,昆山,35,0,False,True
JHPS,昆山,黄渡,28,0,False,True
JHPS,黄渡,上海西,16,0,False,False
JHPS,上海西,上海,5,0,False,False
JHGS,南京南,镇江南,65,0,False,True
JHGS,镇江南,丹阳北,32,0,False,True
JHGS,丹阳北,常州北,33,0,False,True
JHGS,常州北,无锡东,57,0,False,True
JHGS,无锡东,苏州北,27,0,False,True
JHGS,苏州北,昆山南,31,0,False,True
JHGS,昆山南,黄渡所*,35,0,False,True
JHGS,黄渡所*,上海虹桥,15,0,False,False
HNCJ,南京,仙林,13,0,False,True
HNCJ,仙林,宝华山,14,0,False,True
HNCJ,宝华山,镇江,37,0,False,True
HNCJ,镇江,丹徒,13,0,False,True
HNCJ,丹徒,丹阳,14,0,False,True
HNCJ,丹阳,常州,45,0,False,True
HNCJ,常州,戚墅堰,11,0,False,False
HNCJ,戚墅堰,惠山,14,0,False,True
HNCJ,惠山,无锡,14,0,False,False
HNCJ,无锡,无锡新区,13,0,False,True
HNCJ,无锡新区,苏州新区,19,0,False,True
HNCJ,苏州新区,苏州,10,0,False,False
HNCJ,苏州,苏州园区,10,0,False,True
HNCJ,苏州园区,阳澄湖,15,0,False,False
HNCJ,阳澄湖,昆山南,9,0,False,True
HNCJ,昆山南,花桥,10,0,False,False
HNCJ,花桥,安亭北,11,0,False,False
HNCJ,安亭北,南翔北所*,11,0,False,True
HNCJ,南翔北所*,南翔北,4,0,False,False
HNCJ,南翔北,上海西,9,0,False,False
HNCJ,上海西,上海,5,0,False,False
HKPS,上海,上海西,5,-35,False,True
HKPS,上海西,封浜,14,-35,False,True
HKPS,封浜,七宝,12,-35,False,True
HKPS,七宝,春申,9,-35,False,False
HKPS,春申,新桥,5,-35,False,False
HKPS,新桥,松江,11,-35,False,True
HKPS,松江,枫泾,26,0,False,True
HKPS,枫泾,嘉善,10,0,False,True
HKPS,嘉善,嘉兴,18,0,False,True
HKPS,嘉兴,海宁,27,0,False,True
HKPS,海宁,长安镇,25,0,False,True
HKPS,长安镇,笕桥,29,0,False,True
HKPS,笕桥,杭州东,6,0,False,True
HKPS,杭州东,杭州南,21,0,False,True
HKGS,上海虹桥,松江南,31,0,False,True
HKGS,松江南,金山北,17,0,False,True
HKGS,金山北,嘉善南,19,0,False,True
HKGS,嘉善南,嘉兴南,17,0,False,True
HKGS,嘉兴南,桐乡,28,0,False,True
HKGS,桐乡,海宁西,21,0,False,True
HKGS,海宁西,余杭,11,0,False,True
HKGS,余杭,杭州东,15,0,False,True
NHCJ,南京南,江宁,12,-45,False,True
NHCJ,江宁,句容西,14,-45,False,True
NHCJ,句容西,溧水,20,-45,False,True
NHCJ,溧水,瓦屋山,22,-45,False,True
NHCJ,瓦屋山,溧阳,30,-45,False,True
NHCJ,溧阳,宜兴,31,0,False,True
NHCJ,宜兴,长兴,36,0,False,True
NHCJ,长兴,湖州,20,0,False,True
NHCJ,湖州,德清,36,45,False,True
NHCJ,德清,杭州东所,26,45,False,True
NHCJ,杭州东所,杭州东,9,45,False,True
HYPS,杭州,杭州南,27,0,True,False
HYPS,杭州南,绍兴,36,0,False,True
HYPS,绍兴,上虞,28,0,False,True
HYPS,上虞,余姚,32,0,False,True
HYPS,余姚,宁波,48,0,False,False
HSTL,杭州东,杭州南,21,0,True,False
HSTL,杭州南,绍兴北,22,0,False,True
HSTL,绍兴北,上虞北,31,0,False,True
HSTL,上虞北,余姚北,32,0,False,True
HSTL,余姚北,庄桥,41,0,False,True
HSTL,庄桥,宁波,8,0,False,False
NQTL,林场,六合,35,0,False,True
NQTL,六合,仪征,30,0,False,True
NQTL,仪征,扬州,21,0,False,True
NQTL,扬州,江都,25,0,False,True
NQTL,江都,泰州,39,0,False,True
NQTL,泰州,姜堰,14,0,False,True
NQTL,姜堰,海安县,40,0,False,True
NQTL,海安县,如皋,20,0,False,True
NQTL,如皋,南通,45,0,False,True
NTPS,南京,中华门,33,0,False,True
NTPS,中华门,马鞍山,45,0,False,True
NTPS,马鞍山,芜湖,47,0,False,True
NTPS,芜湖,狮子山,74,0,False,False
TJPS,狮子山,铜陵,4,0,False,True
TJPS,铜陵,池州,57,0,False,True
NACJ,南京南,江宁西,25,0,False,True
NACJ,江宁西,马鞍山东,17,0,False,True
NACJ,马鞍山东,当涂东,15,90,False,True
NACJ,当涂东,芜湖,29,90,False,True
NACJ,芜湖,弋江,12,90,False,True
NACJ,弋江,繁昌西,29,90,False,True
NACJ,繁昌西,铜陵,34,90,False,True
NACJ,铜陵,池州,50,90,False,True
NACJ,池州,安庆,46,0,False,True
JSSY,新桥,车墩,5,0,False,False
JSSY,车墩,叶榭,10,0,False,False
JSSY,叶榭,亭林,6,0,False,True
JSSY,亭林,金山园区,7,0,False,False
JSSY,金山园区,金山卫,12,0,False,True
HNLL,黄渡,封浜,7,0,True,False
HNLL,封浜,七宝,12,0,False,True
HNLL,七宝,上海南,12,0,False,True
SNLL,上海南,春申,10,0,False,False
XNLL,南京南,仙林,23,0,False,True
HDL1,南翔北所*,黄渡所*,4,0,False,False
HDL2,黄渡所*,南翔北所*,4,0,False,False
HZLL,笕桥,艮山门,6,0,False,False
HZLL,艮山门,杭州,6,0,True,True
GSML,杭州东所,艮山门,6,0,True,True
JQLL,余杭,笕桥,13,0,True,True
HFLL,封浜,上海虹桥,14,0,True,False
HNSZ,上海,上海西,5,0,False,False
HNSZ,上海西,南翔北,9,0,False,False
HNSZ,南翔北,南翔北所*,4,0,False,False
JHLC,林场,南京,15,0,False,False
