线路ID,线路名,X,Y,角度,隐藏
JHPS,京沪线沪宁段,50,30,0,FALSE
JHGS,京沪高速线沪宁段,56,90,0,FALSE
HNCJ,沪宁高速线,50,60,0,FALSE
HKPS,沪昆线沪杭段,390,80,125,FALSE
HKGS,沪昆高速线沪杭段,351,120,125,FALSE
NHCJ,宁杭高速线,56,120,45,FALSE
HYPS,杭甬线,274,330,0,FALSE
HSTL,杭深线杭甬段,290,300,0,FALSE
NQTL,宁启线,50,0,0,FALSE
NTPS,宁铜线,10,60,90,FALSE
TJPS,铜九线,10,259,90,FALSE
NACJ,宁安线,35,150,0,FALSE
JSSY,金山线,430,125,90,FALSE
HNLL,黄南线,430,30,90,FALSE
SNLL,上海南线,430,61,90,FALSE
XNLL,仙宁线,35,90,-90,FALSE
HDL1,黄渡联络线1,370,75,90,TRUE
HDL2,黄渡联络线2,370,75,90,TRUE
HZLL,杭州线,250,293,90,FALSE
GSML,艮山门联络线,215,280,90,FALSE
JQLL,笕桥线,250,280,90,FALSE
HFLL,虹封线,338,65,90,TRUE
HNSZ,沪宁高速线上海折返,0,0,0,TRUE
JHLC,京沪线南京林场,10,0,90,FALSE
